old_path,new_path,artifact_type,model,task,training_mode,data_split,date,seed,sha256,status,notes
apps/desktop/models/2026-07-08_emg2pose_1_gesture_classifier.pt,artifacts/legacy-unclassified/root-files/2026-07-08_emg2pose_1_gesture_classifier.pt,pytorch-model,unknown-model,gesture-classification,standard,unknown-split,2026-07-08,unknown,6f2744e51f9b49aad950e85fed361b6f7527a7e6e839d5df5c14676cd8259233,legacy-unclassified,date derived from filesystem modification time; needs review; name/configuration is insufficient for formal naming
apps/desktop/models/best_gesture_classifier.pt,artifacts/legacy-unclassified/root-files/best_gesture_classifier.pt,pytorch-model,unknown-model,gesture-classification,standard,unknown-split,2026-07-08,unknown,227487bd7fb91e757f58aada6589f70d8ea697d8e3bcf3f1bdb99837a5a15c15,legacy-unclassified,date derived from filesystem modification time; needs review; name/configuration is insufficient for formal naming
apps/desktop/models/best_pretrained_lr_sweep_gesture_classifier(2).pt,artifacts/legacy-unclassified/root-files/best_pretrained_lr_sweep_gesture_classifier(2).pt,pytorch-model,unknown-model,gesture-classification,standard,unknown-split,2026-07-09,unknown,424d3ed151d21a5716959ee2bbc8c1487b4f27933714e766f9968c996a42cdc7,legacy-unclassified,date derived from filesystem modification time; needs review; name/configuration is insufficient for formal naming
apps/desktop/models/debug_trial_split/confusion_matrix.csv,artifacts/legacy-unclassified/debug_trial_split/confusion_matrix.csv,csv-artifact,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,3717651b28382a63f72827272581ad9fc5085c28b1beeb42d532f67323ad0ed8,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/debug_trial_split/gesture_classifier.pt,artifacts/legacy-unclassified/debug_trial_split/gesture_classifier.pt,pytorch-model,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,1e51c4cbf2c2510d30552c9d23d3347466a2ebe3078af4f19b22ea32c3336c89,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/debug_trial_split/gesture_classifier.ts,artifacts/legacy-unclassified/debug_trial_split/gesture_classifier.ts,torchscript-model,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,ad62bb0f6b37404e57cc2192f690a3ca493ff932ebb9028384a7764be0fb3a36,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/debug_trial_split/gesture_labels.json,artifacts/legacy-unclassified/debug_trial_split/gesture_labels.json,json-metadata,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,eff5e7e5e1995d20839cc4d8aa09b79e2fa0ec3e8e8fc3c199c2c7b9fa70e681,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/debug_trial_split/model_info.json,artifacts/legacy-unclassified/debug_trial_split/model_info.json,json-metadata,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,06c15603eda0ac2f0fe8ef8b745abb953428bb5c77d890d5662c4324259345a8,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/debug_trial_split/normalization.json,artifacts/legacy-unclassified/debug_trial_split/normalization.json,json-metadata,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,15ac8c9158c1e361df568b91b97fac498c0fa524758fd9cb73ddae0ee718aa48,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/debug_trial_split/train_report.json,artifacts/legacy-unclassified/debug_trial_split/train_report.json,json-report,unknown-model,gesture-classification,standard,trial-split,2026-07-08,42,40382a058d5cb40a37c02be626d14ac3553417453aaba19ee26ad2a276cd3290,temporary-review,date derived from filesystem modification time; needs review; temporary-looking name; retain until validation review
apps/desktop/models/effie_cross_session_cv_v2_continue/cv_report.json,artifacts/models/effie/cross-session-cv/finetune-all/2026-07-09__seed-unknown/cv_report.json,json-report,effie,gesture-classification,finetune-all,cross-session-cv,2026-07-09,unknown,664bcd058cc0a50b1dd96ba21b8108b9f0527b698b024ddfb23c83b42a6bffe2,classified-proposed,date derived from filesystem modification time; needs review
apps/desktop/models/effie_cross_session_cv_v2_continue/fold_session_001/confusion_matrix.csv,artifacts/models/effie/cross-session-cv/finetune-all/2026-07-09__seed-unknown/fold_session_001/confusion_matrix.csv,csv-artifact,effie,gesture-classification,finetune-all,cross-session-cv,2026-07-09,unknown,a02e7b25c296224f6006757456f3e64f2c8d2e04aafecdcb5db737e329613e36,classified-proposed,date derived from filesystem modification time; needs review
apps/desktop/models/effie_cross_session_cv_v2_continue/fold_session_001/gesture_classifier.pt,artifacts/models/effie/cross-session-cv/finetune-all/2026-07-09__seed-unknown/fold_session_001/gesture_classifier.pt,pytorch-model,effie,gesture-classification,finetune-all,cross-session-cv,2026-07-09,unknown,c15eea978ad127244e4e1adf5c50bc94eddedd78b369fe69de7e71be0a7941fe,classified-proposed,date derived from filesystem modification time; needs review
